VDH_Code,Indicator,Timeframe,Geography_Type,Geography_Name,Demographic_Type,Demographic_Name,Value,State_Comparison,Notes,MostRec_DisagTimeframe,MostRec_DisagTimeframeValue,MostRec_VTValuePerGeogType,Stat_Comment,DemographicNameCleaned,_timestamp
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Disability,No Disability,6,NA,,2023,6,8,,No Disability,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Education,College Degree or More,6,NA,,2023,5,8,,College Degree or More,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Income,Highest ($75K+),4,NA,,,,,,Highest ($75K+),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,SOGI,LGBTQ,13,NA,,2023,14,8,,LGBTQ,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Disability,Disability,12,NA,,2023,12,8,,Disability,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Income,Low (<$25K),12,NA,,,,,,Low (<$25K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Race and Ethnicity,BIPOC,11,NA,,2023,12,8,,BIPOC,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Education,High School Degree or Less,9,NA,,2023,9,8,,High School Degree or Less,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Income,Middle ($25K- <50K),9,NA,,,,,,Middle ($25K- <50K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Sex,Male,7,NA,,2023,7,8,,Male,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Income,High ($50K - <$75K),7,NA,,,,,,High ($50K - <$75K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Vermont 1-year rate,NA,6,NA,,2022,6,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Race and Ethnicity,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Race and Ethnicity,"White, non-Hispanic",6,NA,,2023,7,8,,"White, non-Hispanic",2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Sex,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Sex,Female,6,NA,,2023,8,8,,Female,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,SOGI,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Disability,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Education,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Education,Some College,6,NA,,2023,9,8,,Some College,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Income,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,SOGI,Heterosexual Cisgender,5,NA,,2023,7,8,,Heterosexual Cisgender,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Disability,No Disability,4,NA,,2023,6,8,,No Disability,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Education,College Degree or More,4,NA,,2023,5,8,,College Degree or More,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021,State,Vermont,Income,Highest ($75K+),3,NA,,,,,,Highest ($75K+),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,SOGI,LGBTQ,12,NA,,2023,14,8,,LGBTQ,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Race and Ethnicity,BIPOC,11,NA,,2023,12,8,,BIPOC,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Disability,Disability,10,NA,,2023,12,8,,Disability,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Income,Low (<$25K),9,NA,,,,,,Low (<$25K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Income,Middle ($25K- <50K),9,NA,,,,,,Middle ($25K- <50K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Sex,Female,7,NA,,2023,8,8,,Female,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Education,High School Degree or Less,7,NA,,2023,9,8,,High School Degree or Less,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Education,Some College,7,NA,,2023,9,8,,Some College,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Income,High ($50K - <$75K),7,NA,,,,,,High ($50K - <$75K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Vermont 1-year rate,NA,6,NA,,2022,6,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Race and Ethnicity,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Race and Ethnicity,"White, non-Hispanic",6,NA,,2023,7,8,,"White, non-Hispanic",2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Sex,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Sex,Male,6,NA,,2023,7,8,,Male,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,SOGI,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Disability,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Education,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Income,Overall,6,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,SOGI,Heterosexual Cisgender,5,NA,,2023,7,8,,Heterosexual Cisgender,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Disability,No Disability,5,NA,,2023,6,8,,No Disability,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Education,College Degree or More,5,NA,,2023,5,8,,College Degree or More,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2022,State,Vermont,Income,Highest ($75K+),5,NA,,,,,,Highest ($75K+),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Lamoille,NA,NA,10,Same ,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Windham,NA,NA,9,Same ,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Windsor,NA,NA,8,Same ,,2022-2023,4,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Vermont,NA,NA,7,Na ,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Bennington,NA,NA,7,Same ,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Caledonia,NA,NA,7,Na ,,2022-2023,8,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Franklin,NA,NA,7,Same ,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Orleans,NA,NA,7,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Washington,NA,NA,7,Same ,,2022-2023,8,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Chittenden,NA,NA,6,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Rutland,NA,NA,6,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Addison,NA,NA,5,Same ,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Orange,NA,NA,5,Same ,,2022-2023,5,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Essex,NA,NA,-99999,Na ,,2022-2023,-99999,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,County,Grand Isle,NA,NA,-99999,Na ,,2022-2023,-99999,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,White River Junction,NA,NA,10,Same ,,2022-2023,5,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Newport,NA,NA,8,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Brattleboro,NA,NA,8,Same ,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Vermont,NA,NA,7,Na ,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Burlington,NA,NA,7,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Bennington,NA,NA,7,Same ,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,St. Johnsbury,NA,NA,7,Same ,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Middlebury,NA,NA,7,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Morrisville,NA,NA,7,Same ,,2022-2023,8,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Barre,NA,NA,6,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,St. Albans,NA,NA,6,Same ,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Rutland,NA,NA,5,Same ,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,District Office,Springfield,NA,NA,5,Same ,,2022-2023,5,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020-2021,National,US,NA,NA,11,Higher,,2021-2022,11,,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Windham,NA,NA,9,Same,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Bennington,NA,NA,7,Same,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Lamoille,NA,NA,7,Same,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Vermont,NA,NA,6,NA,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Caledonia,NA,NA,6,Same,,2022-2023,8,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Chittenden,NA,NA,6,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Orleans,NA,NA,6,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Washington,NA,NA,6,Same,,2022-2023,8,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Windsor,NA,NA,6,Same,,2022-2023,4,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Addison,NA,NA,5,Same,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Franklin,NA,NA,5,Same,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Rutland,NA,NA,5,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Orange,NA,NA,4,Same,,2022-2023,5,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Essex,NA,NA,-99999,NA,,2022-2023,-99999,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,County,Grand Isle,NA,NA,-99999,NA,,2022-2023,-99999,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Brattleboro,NA,NA,9,Same,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Bennington,NA,NA,7,Same,,2022-2023,9,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Vermont,NA,NA,6,NA,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Barre,NA,NA,6,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Burlington,NA,NA,6,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Morrisville,NA,NA,6,Same,,2022-2023,8,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Newport,NA,NA,6,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Rutland,NA,NA,6,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Springfield,NA,NA,6,Same,,2022-2023,5,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,Middlebury,NA,NA,5,Same,,2022-2023,6,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,St. Albans,NA,NA,5,Same,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,St. Johnsbury,NA,NA,5,Same,,2022-2023,7,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,District Office,White River Junction,NA,NA,5,Same,,2022-2023,5,7,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2021-2022,National,US,NA,NA,11,Higher,,2021-2022,11,,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Income,Middle ($25K- <50K),90,NA,,,,,,Middle ($25K- <50K),2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Education,High School Degree or Less,85,NA,,2023,69,71,,High School Degree or Less,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Race and Ethnicity,"White, non-Hispanic",81,NA,,2023,70,71,,"White, non-Hispanic",2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Sex,Male,81,NA,,2023,78,71,,Male,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Disability,Disability,81,NA,,2023,77,71,,Disability,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Education,Some College,81,NA,,2023,77,71,,Some College,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Race and Ethnicity,Overall,80,NA,,2023,71,71,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Sex,Overall,80,NA,,2023,71,71,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Sex,Female,80,NA,,2023,64,71,,Female,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,SOGI,Overall,80,NA,,2023,71,71,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,SOGI,Heterosexual Cisgender,80,NA,,2023,70,71,,Heterosexual Cisgender,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Disability,Overall,80,NA,,2023,71,71,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Education,Overall,80,NA,,2023,71,71,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Income,Overall,80,NA,,2023,71,71,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Income,Low (<$25K),80,NA,,,,,,Low (<$25K),2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Disability,No Disability,79,NA,,2023,60,71,,No Disability,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,SOGI,LGBTQ,78,NA,,2023,74,71,,LGBTQ,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Race and Ethnicity,BIPOC,77,NA,,2023,74,71,,BIPOC,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Income,Highest ($75K+),73,NA,,,,,,Highest ($75K+),2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Education,College Degree or More,72,NA,,2023,67,71,,College Degree or More,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,Income,High ($50K - <$75K),78,NA,,,,,,High ($50K - <$75K),2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2020,State,Vermont,NA,NA,80,NA,,2023,71,71,,Overall,2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2021,State,Vermont,Income,Low (<$25K),90,NA,,,,,,Low (<$25K),2025-09-08
HDS04,% of adults age 18 and older with chronic kidney disease who have ever been diagnosed with high blood pressure,2021,State,Vermont,Disability,Disability,83,NA,RSE > 30,2023,77,71,Yes,Disability,2025-09-08
